round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,mean_matching,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb,communication,signal_exist,signal_freq
1,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
2,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
3,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
4,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
5,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
6,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
7,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
8,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
9,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
10,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
11,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
12,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,FALSE,15
