round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,mean_matching,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb,communication,signal_exist,signal_freq
1,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
2,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
3,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
4,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
5,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
6,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
7,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
8,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
9,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
10,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
11,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
12,TRUE,120,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400,0,TRUE,5
